,Ácido Acetilsalicílico,Ácido Ectacrínico,Ácido Mefenâmico,Álcool (bebida),Analgésicos Narcóticos,Anfetaminas,Antiácidos,Antibióticos (Largo Espectro),Anticoagulantes Orais,Anticolinérgicos,Antidepressivos Tricíclicos,Anti-histamínicos,Barbitúricos,Benzodiazepinas (Diazepam),Biguanidas (Fenformina),Bloqueadores adrenérgicos beta,Bloqueantes Neuromusculares,Carbamazepina,Cefaloridina (Ceporan),Clofibrato,Clonidina,Cloranfenicol,Colestiramina,Contraceptivos Orais,Corticosteróides,Dicloralfenazona,Digoxina,Esteróides Anabólicos,Fenfluramina,Fenilbutazona,Fenitoína,Fenotiazinas (Clorpromazina),Furosemida,Glutetimida,Griseofulvina,Guanetidina,Haloperidol,Hidrato de Cloral,Indometacina,iMAOs,Insulinas,Isoniazida,Levodopa,Meprobamato,Metildopa,Metotrexato,Metronidazol,Naproxeno,Piridoxina,Procainamida,Quinidina,Rifampicina,Simpaticomiméticos (A. Directa),Simpaticomiméticos (A. Indirecta),Sulfimpirazona,Sulfonamidas,Sulfonilinas (Clorpropamida),Tetraciclinas,Tiazidas,"Tiramina (Alimentos, Etc.)",Tiroxina
Ácido Acetilsalicílico,0,4,1,5,4,4,4,1,2,4,2,3,5,1,5,6,2,4,5,6,5,3,6,2,6,5,3,3,6,4,6,4,4,5,5,4,1,1,1,1,3,3,1,4,4,2,2,3,4,4,6,3,3,3,1,6,2,1,1,1,1
Ácido Ectacrínico,3,0,5,5,5,5,3,2,2,2,2,4,1,1,2,3,1,4,6,4,3,5,4,1,6,2,2,4,2,6,5,3,5,4,2,3,1,1,4,2,4,3,6,5,5,2,4,4,2,4,2,2,6,5,5,3,4,1,2,1,3
Ácido Mefenâmico,6,5,0,4,4,6,4,4,6,5,5,2,1,1,4,4,3,2,5,2,6,6,4,6,1,3,4,2,6,2,6,4,5,5,1,5,5,6,2,4,2,4,1,6,5,5,6,2,6,6,1,2,4,1,3,6,4,3,1,3,2
Álcool (bebida),4,2,3,0,3,5,4,6,6,6,1,1,2,4,2,2,1,3,2,5,6,5,3,6,2,1,2,4,4,5,1,5,4,2,5,3,4,1,1,4,4,4,3,4,6,2,2,6,2,3,4,6,1,3,6,1,4,5,5,2,2
Analgésicos Narcóticos,4,4,5,2,0,3,4,1,3,3,6,6,3,1,3,2,5,4,2,6,4,2,1,1,2,6,2,1,5,2,4,5,2,6,4,2,1,2,5,2,4,5,5,2,1,6,4,1,6,6,3,3,6,5,4,6,4,2,6,2,3
Anfetaminas,1,5,6,4,3,0,1,4,3,2,5,3,2,6,6,5,2,2,3,6,1,5,4,4,3,2,6,2,6,5,3,4,4,2,2,5,2,2,3,6,5,2,5,1,1,4,4,4,5,6,2,1,2,1,2,2,5,2,1,5,5
Antiácidos,4,2,2,6,1,1,0,5,5,5,5,2,2,4,6,6,4,1,5,6,5,3,3,4,2,6,1,5,1,3,4,2,4,3,2,5,3,5,6,1,1,1,3,3,5,1,6,3,3,3,6,2,2,4,2,2,5,1,5,1,5
Antibióticos (Largo Espectro),1,3,1,2,2,1,6,0,3,3,4,1,3,3,6,6,2,3,6,1,5,3,4,4,5,2,4,6,2,2,1,5,5,2,5,3,3,5,6,5,1,4,2,1,2,6,3,1,4,4,1,1,2,3,2,6,1,5,1,6,1
Anticoagulantes Orais,1,6,3,5,1,1,6,4,0,6,2,6,3,6,2,1,2,5,6,4,6,5,2,3,2,2,2,6,1,5,6,4,1,5,5,6,5,3,4,1,1,5,4,3,3,2,4,6,3,5,3,6,1,4,6,6,1,3,4,1,6
Anticolinérgicos,3,3,5,1,2,1,3,4,5,0,1,1,6,1,2,3,6,6,6,1,4,2,4,4,6,3,2,1,3,2,5,2,6,6,1,4,6,6,4,3,3,1,2,4,5,6,6,3,5,2,3,6,4,1,1,2,3,5,3,2,1
